Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531441,233,-100,0,0,0,0,0,0,0,0,0,0
ERR531442,169,-200,0,0,0,0,0,0,0,0,0,0
ERR531443,138,-100,1820.42,1124.26268,158.2822909,82,30.80039962,21.48099998,40.98984802,12.10025981,1609.28873,25.36068965
ERR531444,267,-100,0,0,0,0,0,0,0,0,0,0
ERR531445,96,-200,0,0,0,0,0,0,0,0,0,0
ERR531446,63,-200,0,0,0,0,0,0,0,0,0,0
ERR531447,129,-100,1251.753319,4219.569958,638.3764284,625.7399998,127.2658997,33.78500009,149.8079988,35.44035994,6072.616638,158.8667998
ERR531448,245,-100,0,0,0,0,0,0,0,0,0,0
ERR531449,21,-100,217.3733298,1753.726907,198.4379172,100,82.9707607,14.18980042,66.57761554,17.18051288,3159.123654,84.52600153
ERR531450,346,-100,0,0,0,0,0,0,0,0,0,0
ERR531451,69,-100,517.1766682,2055.893347,283.5657892,293.4199994,57.17546707,6.342333317,90.9884693,18.58820335,2019.265005,115.3092674
ERR531452,80,-100,0,0,0,0,0,0,0,0,0,0
ERR531453,242,-100,0,0,0,0,0,0,0,0,0,0
ERR531454,240,-101,0,0,0,0,0,0,0,0,0,0
ERR531455,131,-101,220.579998,2413.260002,241.6760025,148.6000061,98.88400006,10.05600011,138.6180024,25.08556122,2611.520035,67.93780017
ERR531456,275,-101,0,0,0,0,0,0,0,0,0,0
ERR531457,157,-100,69.1899991,1074.570011,170.7663012,122.3499985,21.42834996,9.21299988,51.43479896,7.058004986,369.899998,60.21609832
ERR531458,154,-100,439.0499978,4027.000016,358.7390051,514.7999954,129.1832017,10.24100012,245.8056995,46.69978015,5173.749988,96.46529914
ERR531459,120,-200,0,0,0,0,0,0,0,0,0,0
ERR531460,63,-100,583.828012,1902.716501,223.3709368,532.0499916,72.80736942,11.03604991,93.80941124,31.527668,1488.035015,75.49553965
ERR531461,160,-100,384.0800023,1312.500409,79.83852458,250.6399994,48.54260017,3.749333292,70.31896317,16.76133001,2302.330003,2.646166686
